episode,reward,arrived
0,77.8296,0
1,59.6552,0
2,209.241,0
3,40.297,0
4,61.7378,0
5,206.073,0
6,139.863,0
7,274.498,0
8,52.5565,0
9,179.136,0
10,71.1822,0
11,53.2563,0
12,56.9436,0
13,49.138,0
14,35.4612,0
15,72.2635,0
16,33.3122,0
17,118.512,0
18,302.677,0
19,187.153,0
20,66.1845,0
21,32.1674,0
22,87.2997,0
23,276.016,0
24,136.587,0
25,142.096,0
26,249.063,0
27,28.4171,0
28,89.8499,0
29,444.211,0
30,108.694,0
31,93.7642,0
32,258.524,0
33,125.546,0
34,156.555,0
35,222.703,0
36,6.08461,0
37,83.9,0
38,74.8234,0
39,30.4021,0
40,14.4623,0
41,106.337,0
42,161.825,0
43,508.837,0
44,190.03,0
45,619.903,1
46,58.0791,0
47,316.325,0
48,458.003,1
49,1020.29,0
50,607.927,0
51,525.277,1
52,184.912,0
53,1556.25,0
54,587.99,1
55,726.81,0
56,1325.25,0
57,409.973,0
58,501.326,0
59,177.126,0
60,1422.15,0
61,88.1367,0
62,153.977,0
63,657.96,0
64,1266.25,0
65,123.854,0
66,425.465,0
67,663.445,1
68,357.899,0
69,34.9654,0
70,593.24,1
71,250.007,0
72,871.353,0
73,254.367,0
74,1541.8,0
75,457.785,1
76,1350.65,0
77,343.512,0
78,652.912,0
79,878.754,1
80,774.259,1
81,1539.78,0
82,1015.1,0
83,284.062,0
84,735.695,0
85,1024.23,0
86,1098.55,0
87,759.348,0
88,862.689,0
89,1343.41,0
90,604.179,0
91,283.84,0
92,113.879,0
93,1417.3,1
94,106.053,0
95,1331.31,0
96,1632.97,0
97,893.047,0
98,631.166,1
99,871.479,0
100,259.493,0
101,1024.93,0
102,980.51,0
103,1170.52,0
104,1161.17,1
105,1272.44,0
106,535.503,0
107,839.68,0
108,1172.23,0
109,1241.26,0
110,1289.44,0
111,74.7988,0
112,635.555,0
113,677.841,0
114,416.577,0
115,609.51,0
116,731.295,1
117,352.247,0
118,644.328,0
119,1214.92,0
120,1259.83,0
121,517.421,0
122,196.881,0
123,1396.09,0
124,954.553,0
125,960.618,0
126,298.329,0
127,1408.04,0
128,1434.4,0
129,228.647,0
130,64.5214,0
131,789.382,0
132,1519.88,0
133,269.839,0
134,886.359,0
135,1089.13,0
136,629.784,0
137,292.155,0
138,572.458,0
139,621.784,0
140,1520.51,0
141,459.093,1
142,1125.09,0
143,742.329,1
144,596.858,1
145,1247.65,0
146,129.606,0
147,303.987,0
148,559.117,0
149,481.171,1
150,753.522,1
151,708.888,1
152,1029.62,1
153,428.49,1
154,843.601,1
155,982.078,0
156,1071.07,0
157,629.001,1
158,962.154,0
159,1511.98,0
160,827.603,1
161,1460.5,0
162,85.8716,0
163,500.348,1
164,1261.98,0
165,87.6794,0
166,234.801,0
167,1407.26,1
168,1289.42,0
169,1365.87,0
170,116.458,0
171,862.043,0
172,391.421,0
173,1123.58,1
174,1506.33,0
175,737.384,0
176,775.267,0
177,607.008,0
178,1030.58,1
179,681.152,0
180,276.265,0
181,50.0668,0
182,1173.84,1
183,1218.47,1
184,1252.4,1
185,72.7622,0
186,1430.6,0
187,1459.61,0
188,770.403,1
189,790.33,0
190,606.33,1
191,1574.67,0
192,817.987,1
193,700.906,1
194,1212.65,1
195,552.895,0
196,1526.08,0
197,169.966,0
198,621.949,1
199,1327.84,0
200,375.03,0
201,1562.93,0
202,1322.74,0
203,466.637,1
204,1361.21,0
205,919.658,1
206,466.321,0
207,1330.86,0
208,1524.09,0
209,991.272,0
210,23.9033,0
211,765.537,0
212,1428.63,0
213,1416.21,0
214,24.8418,0
215,1257.82,0
216,1169.47,0
217,454.976,0
218,514.086,0
219,262.385,0
220,1265.87,0
221,172.408,0
222,753.038,1
223,1525.11,0
224,876.621,0
225,24.3829,0
226,132.067,0
227,848.666,1
228,1399.69,1
229,1318.71,0
230,116.126,0
231,1516.15,0
232,709.021,0
233,501.744,1
234,1730.45,0
235,1542.43,0
236,1140.56,1
237,748.75,1
238,37.3833,0
239,1331.2,0
240,1751.35,0
241,794.855,1
242,1306.89,0
243,36.0294,0
244,627.791,1
245,290.506,0
246,1170.72,0
247,1501.62,0
248,964.225,0
249,1317.14,0
250,851.497,1
251,1398.51,0
252,790.306,1
253,851.062,1
254,1426.11,0
255,1429.37,0
256,821.286,1
257,114.953,0
258,461.272,1
259,1402.2,0
260,1541.98,0
261,1349.29,0
262,167.251,0
263,1527.11,1
264,1376.23,0
265,1257.08,1
266,1464.99,0
267,55.1145,0
268,102.532,0
269,713.388,1
270,357.089,0
271,1245.62,0
272,92.9891,0
273,1458.04,0
274,1084.14,1
275,1314.36,0
276,1066.41,0
277,682.964,1
278,770.233,1
279,210.373,0
280,1183.79,1
281,542.746,1
282,1084.02,0
283,720.114,1
284,348.171,0
285,945.308,1
286,1406.39,0
287,1125.52,0
288,1289.05,0
289,1284.05,0
290,528.969,1
291,972.292,0
292,1678.57,0
293,597.169,0
294,1637.55,0
295,838.901,1
296,814.463,1
297,1460.36,0
298,1338.32,0
299,1674.66,0
300,758.027,1
301,1551.13,0
302,484.724,1
303,948.318,0
304,1316.28,0
305,887.231,1
306,89.9067,0
307,520.239,1
308,1372.18,0
309,872.844,1
310,1099.55,1
311,1331.99,0
312,238.136,0
313,1715.78,0
314,1360.91,0
315,166.632,0
316,1220.51,0
317,1359.08,1
318,237.739,0
319,477.323,1
320,141.681,0
321,565.505,0
322,22.093,0
323,1558.05,0
324,473.687,0
325,1462.81,1
326,683.581,1
327,1289.52,0
328,158.006,0
329,1316.3,0
330,325.989,0
331,1555.3,0
332,1545.25,0
333,929.502,1
334,1118.57,0
335,1510.02,0
336,1468.38,0
337,530.213,0
338,230.796,0
339,90.263,0
340,1345.14,1
341,1761.43,0
342,1635.76,0
343,1482.53,0
344,1436.69,0
345,1039.85,1
346,1475.13,0
347,1463.17,0
348,1312.98,0
349,1486.97,0
350,751.596,1
351,1144.06,0
352,715.264,1
353,336.907,0
354,1764.88,0
355,1122.55,0
356,835.031,0
357,1442.93,0
358,731.775,0
359,1125.52,1
360,1160.32,0
361,1496.06,0
362,1638.71,0
363,1419.75,1
364,1536.16,0
365,1549.07,0
366,407.927,0
367,142.641,0
368,554.291,0
369,1359.03,0
370,971.134,1
371,553.666,1
372,325.467,0
373,1159.82,1
374,1318.58,0
375,1623.03,0
376,9.70273,0
377,993.368,0
378,1402.18,0
379,1254.73,0
380,936.384,1
381,272.06,0
382,1527.28,0
383,1410.63,0
384,1651.44,0
385,293.696,0
386,1507.53,0
387,1591.89,0
388,985.819,1
389,666.095,1
390,1638.76,0
391,506.47,0
392,1392.1,0
393,759.832,0
394,622.05,0
395,740.338,1
396,666.932,1
397,1372.3,0
398,849.117,0
399,920.067,1
400,697.548,0
401,481.844,0
402,851.179,1
403,1756.42,0
404,1615.18,0
405,382.29,0
406,1523.21,0
407,232.337,0
408,674.227,1
409,117.653,0
410,1371.63,0
411,1668.78,0
412,857.428,0
413,1499.41,0
414,421.635,1
415,760.702,0
416,1362.44,0
417,1419.57,0
418,967.711,1
419,1136.66,0
420,1150.51,0
421,1699.09,0
422,109.086,0
423,1301.8,0
424,763.285,0
425,1046.93,1
426,969.864,1
427,612.838,0
428,97.419,0
429,749.31,0
430,350.529,0
431,1451.95,0
432,522.43,1
433,1485.36,1
434,433.368,1
435,1526.91,0
436,189.557,0
437,909.527,1
438,1719.8,0
439,551.607,1
440,1511.57,0
441,726.842,0
442,1080.18,1
443,1183.32,0
444,1310.13,1
445,413.005,0
446,376.984,0
447,447.032,0
448,201.141,0
449,716.078,1
450,1550.44,0
451,1643.71,0
452,600.902,1
453,1468.06,0
454,456.849,1
455,708.159,1
456,1466.21,0
457,627.325,1
458,1095.67,0
459,204.917,0
460,864.902,1
461,88.075,0
462,1599.96,0
463,1346.15,1
464,1505.46,0
465,1646.71,0
466,1274.84,0
467,1424.32,0
468,543.068,0
469,1349.18,0
470,945.02,0
471,838.258,0
472,1569.29,0
473,954.387,1
474,1474.81,0
475,1744.96,0
476,505.682,1
477,1317.09,1
478,94.7064,0
479,1656.29,0
480,261.51,0
481,543.469,1
482,1434.73,0
483,950.869,0
484,1353.36,0
485,493.598,1
486,1637.8,0
487,231.831,0
488,757.803,1
489,325.854,0
490,1160.55,0
491,618.01,1
492,1073.87,1
493,295.106,0
494,150.546,0
495,1189.45,1
496,946.666,1
497,837.726,1
498,905.943,1
499,632.56,1
